"5","Canvas has transformed the FreshSMP in terms of scalability and performance. Before Canvas, I had to throw together half-baked patches that ultimately didn’t perform to my level of preference and standard and inevitably took the pitfall when things got too intense. Dueris has identified a multitude of optimizations and solutions that exceedingly and most importantly: stably outperform base Folia. Despite my struggles in the start, things are now stable and I’m proud to represent this software.","https://cdn.discordapp.com/avatars/251384415530254336/e7c7f9f42ec0dc06610269349d8ecdaf.png?size=240","RootBeer","Director","FreshSMP"
"5","We've been using Folia for a year, but because of our high player count and default paper mechanics (mob cap, spawn rate, simulation 8...), our 32-core CPU was always maxed out. After switching to Canvas, the CPU usage went down significantly, while also gaining access to Folia's lost methods/events, which allowed us to make our plugins for Paper & Folia without any hacky workarounds. The support from Dueris (Canvas dev) has been great, always trying to help, patch bugs as quickly as possible and optimize the heck out of it. Highly recommend to everyone who is already running Folia or trying to switch to Folia.","https://cdn.discordapp.com/avatars/657579882183786531/750e85ae8ac8800df0872e8d57d06fda.png?size=240","Txslx","Owner","LifeSteal SMP"
"5","Made running a 1000 players event feel easy","https://cdn.discordapp.com/avatars/491988306985484289/1cb0bc4d8f462e9a69cb1e4a4acc3074.png?size=240","jjkay03","Owner","Nations Event"
"4","Dueris works hard to maintain Canvas and implement QOL features missing in base Folia. I 100% recommend this software to any network.","https://cdn.discordapp.com/avatars/581517813777170591/4e85d21915b63626536432c21022291e.png?size=240","MagMad","Owner","FatalMC"
"5","Moved to Canvas mostly because of Folia problems, lack of support, and lack of optimizations. Canvas was a very good improvement, reducing 40% of CPU usage. Had some problems when switched, but Dueris was really fast on fixing, so, thanks! <3","https://cdn.discordapp.com/avatars/734629042216763402/026f231275178f77b7c477762b642dab.png?size=240","gatogamer","Developer","DiosesMC"
"5","Dueris is very helpful and helped us fix quite a few issues. They always do their best to provide high quality support no matter what. I wish every developer were like them. Appreciate their help and kindness!","https://cdn.discordapp.com/avatars/749999019480055939/02537c3885b202cd52f53bd633ba63ad.png?size=240","HyperionDev","Developer","Chicken Network"
"5","This is an outstanding Folia fork with no real alternatives. It’s extremely stable. I originally started my server on Folia, but it had many bugs. Dueris massively improved it. Even world generation is faster, which is perfect for anarchy servers. Dueris responds to bugs very quickly and fixes them fast. Thanks to the large CanvasMC community, by the time you report a bug there’s a good chance it’s already fixed and you just need to update your server. There are many settings that greatly boost performance. Moving from single-core servers to the multi-core CanvasMC approach is the future of Minecraft. Even an old used Ryzen 5950X or Threadripper can outperform a 9950X or 14900KS running single-core servers like Paper or its forks.","https://cdn.discordapp.com/avatars/815926448774447134/1db4bd98ae2de6db8fd4553ce7648699.png?size=240","HausemasterUA","Owner","2B2TUA"
"5","CanvasMC is a solid Folia fork that meaningfully improves performance and reduces overall resource usage. After switching, our server ran noticeably smoother and the number of crashes dropped significantly. Dueris is extremely active, responsive, and genuinely helpful, which made the transition painless. I would absolutely recommend CanvasMC to any serious Minecraft server planning to use Folia.","https://cdn.discordapp.com/avatars/183667457066663936/1f353024c66af8136dcf808b687e448a.webp?size=240","WaterArchery","Owner","Chicken Network"
"5","I’d rate our experience with Canvas a 5/5 overall. Like any complex software operating at scale, there have been bumps along the way, but the stability, performance, and overall direction Canvas provides far outweigh any challenges we’ve encountered. Canvas is a major reason we can confidently handle thousands of concurrent players across our network without things falling apart under load. The performance gains before vs after adopting Canvas were immediately noticeable. On top of that, development and support have been excellent - Dueris is extremely hardworking, responsive, and consistently on top of issues, which inspires a lot of confidence when running production servers. I’d absolutely recommend Canvas to any serious network looking for high-performance infrastructure that’s actively maintained and evolving.","https://cdn.discordapp.com/avatars/801041395305283594/a_b6efc3215c483c349b26cbf6c83bfab1.webp?size=240","Chillz","Director","FreshSMP"
"5","We switched over to Canvas shortly after making the jump to Folia, and the difference was immediately noticeable. The Canvas developers are extremely responsive and consistently push updates that improve stability and performance, which makes a big difference when running a live server. The software feels actively maintained and thoughtfully optimized, and it’s clear a lot of care goes into it. I highly recommend Canvas to anyone running or planning to run a Folia-based server.","https://cdn.discordapp.com/avatars/395495982764130304/8b92e863e915c38ad37e211e54fdb7e7.webp?size=240","Kopeka","Owner","BendersMC"
